name,address,pname,cityname,adname,adcode,lon_gcj02,lat_gcj02,typecode,大类,中类,小类,lon_wgs84,lat_wgs84
停车场(互助路环岛),互助路6a附近,陕西省,西安市,碑林区,610103,108.994232,34.259884,150904,交通设施服务,停车场,公共停车场,108.98938321,34.26133881
钟楼地铁站出入口,地铁2号线,陕西省,西安市,碑林区,610103,108.94725,34.258553,150501,交通设施服务,地铁站,出入口,108.94258003,34.26013166
大明宫雁塔购物广场停车场(含光路南段),电子二路大明宫雁塔购物广场,陕西省,西安市,雁塔区,610113,108.928764,34.211376,150904,交通设施服务,停车场,公共停车场,108.92414506,34.21300175
钟楼地铁站出入口,地铁2号线,陕西省,西安市,新城区,610102,108.947403,34.260349,150501,交通设施服务,地铁站,出入口,108.94273243,34.26192665
停车场(交大街),铁安一街,陕西省,西安市,碑林区,610103,108.993019,34.242184,150904,交通设施服务,停车场,公共停车场,108.98817689,34.24364935
停车场(建设路东段),建设路东段36附近,陕西省,西安市,碑林区,610103,108.966019,34.235619,150904,交通设施服务,停车场,公共停车场,108.96128725,34.23716355
西北大学停车场(环城南路西段),丰庆路附近,陕西省,西安市,碑林区,610103,108.92569,34.249859,150904,交通设施服务,停车场,公共停车场,108.92107412,34.25147413
停车场,西市一路附近,陕西省,西安市,莲湖区,610104,108.905983,34.24308,150904,交通设施服务,停车场,公共停车场,108.90139489,34.24471023
都市绿洲花园停车场,大庆路260号,陕西省,西安市,莲湖区,610104,108.91169,34.268944,150904,交通设施服务,停车场,公共停车场,108.90709411,34.27056224
停车场,东二环路178附近,陕西省,西安市,碑林区,610103,108.994614,34.265465,150904,交通设施服务,停车场,公共停车场,108.98976311,34.26691642
停车场(东八道巷),建国路66附近,陕西省,西安市,碑林区,610103,108.967026,34.255501,150904,交通设施服务,停车场,公共停车场,108.96228884,34.25703535
西北三路东西两侧停车场,青年路147号,陕西省,西安市,莲湖区,610104,108.932808,34.271557,150904,交通设施服务,停车场,公共停车场,108.92817535,34.27315473
中海国际社区·御湖停车场(出入口),曲江大道附近,陕西省,西安市,雁塔区,610113,108.981636,34.21859,150909,交通设施服务,停车场,停车场出入口,108.97684389,34.22009778
停车场(朱雀大街北段),朱雀大街132附近,陕西省,西安市,碑林区,610103,108.938911,34.248524,150904,交通设施服务,停车场,公共停车场,108.93426525,34.25012164
停车场(兴庆路北段),兴庆路11号,陕西省,西安市,新城区,610102,108.988724,34.268291,150904,交通设施服务,停车场,公共停车场,108.98389804,34.269759
中财金融大厦停车场,和平路22号中财金融大厦,陕西省,西安市,碑林区,610103,108.963081,34.254467,150904,交通设施服务,停车场,公共停车场,108.95835855,34.2560118
停车场(玄风桥北巷),尚俭路106附近,陕西省,西安市,碑林区,610103,108.965622,34.258823,150904,交通设施服务,停车场,公共停车场,108.96088983,34.26035966
开米广场停车场,长安中路88号开米广场,陕西省,西安市,雁塔区,610113,108.945877,34.224449,150904,交通设施服务,停车场,公共停车场,108.94121388,34.22604323
志诚酒店停车场(入口),高新一路2L号附近,陕西省,西安市,莲湖区,610104,108.906288,34.240246,150907,交通设施服务,停车场,停车场入口,108.90169986,34.24187724
